_date,total_clones,unique_clones
2023-05-02,1,1
2023-05-03,16,7
2023-05-04,15,7
2023-05-05,2,2
2023-05-08,6,5
2023-05-09,5,4
2023-05-10,4,3
2023-05-11,93,10
2023-05-12,25,7
2023-05-13,2,2
2023-05-14,2,2
2023-05-15,7,5
2023-05-16,21,10
2023-05-17,48,16
2023-05-18,7,4
2023-05-19,7,4
2023-05-22,7,6
2023-05-23,1,1
2023-05-24,2,1
2023-05-25,5,2
2023-05-28,1,1
2023-05-29,5,4
2023-05-30,3,2
2023-06-01,2,2
2023-06-02,11,6
2023-06-03,1,1
2023-06-05,44,11
2023-06-06,25,9
2023-06-07,8,4
2023-06-08,1,1
2023-06-09,2,2
2023-06-11,1,1
2023-06-12,11,6
2023-06-13,2,2
2023-06-14,6,5
2023-06-15,6,5
2023-06-16,2,1
2023-06-17,1,1
2023-06-18,6,3
2023-06-19,2,2
2023-06-20,10,6
2023-06-21,2,2
2023-06-22,16,10
2023-06-23,2,1
2023-06-24,2,2
2023-06-25,3,3
2023-06-26,3,3
2023-06-27,2,2
2023-06-28,5,3
2023-06-29,3,3
2023-07-02,1,1
2023-07-03,51,10
2023-07-04,2,2
2023-07-05,3,3
2023-07-06,3,3
2023-07-08,3,2
2023-07-10,4,4
2023-07-11,10,6
2023-07-12,11,6
2023-07-13,32,14
2023-07-14,1,1
2023-07-15,1,1
2023-07-16,2,2
2023-07-17,4,4
2023-07-18,2,2
2023-07-19,3,3
2023-07-20,2,2
2023-07-22,1,1
2023-07-24,4,3
2023-07-25,2,2
2023-07-26,30,5
2023-07-27,31,7
2023-07-28,14,7
2023-07-30,1,1
2023-07-31,1,1
2023-08-01,2,2
2023-08-02,21,6
2023-08-03,7,5
2023-08-04,1,1
2023-08-05,3,2
2023-08-06,6,6
2023-08-07,5,5
2023-08-08,32,13
2023-08-09,26,17
2023-08-10,10,5
2023-08-11,5,2
2023-08-12,2,2
2023-08-13,2,2
2023-08-14,6,5
2023-08-15,37,7
2023-08-16,10,8
2023-08-17,2,2
2023-08-18,1,1
2023-08-19,1,1
2023-08-20,1,1
2023-08-21,4,4
2023-08-24,7,6
2023-08-25,3,3
2023-08-26,3,3
2023-08-28,10,7
2023-08-29,3,3
2023-08-31,3,3
2023-09-01,3,3
2023-09-03,1,1
2023-09-04,4,4
2023-09-06,26,16
2023-09-07,10,6
2023-09-08,8,7
2023-09-09,2,2
2023-09-11,3,3
2023-09-12,5,4
2023-09-13,2,2
2023-09-14,1,1
2023-09-15,11,10
2023-09-17,2,2
2023-09-18,8,7
2023-09-19,6,5
2023-09-20,12,8
2023-09-21,1,1
2023-09-22,2,2
2023-09-23,2,2
2023-09-25,2,2
2023-09-26,4,4
2023-09-27,8,7
2023-09-28,2,2
2023-09-29,1,1
2023-09-30,16,8
2023-10-01,18,9
2023-10-02,4,4
2023-10-03,1,1
2023-10-04,2,2
2023-10-05,15,10
2023-10-07,2,2
2023-10-09,4,3
2023-10-10,3,2
2023-10-11,4,4
2023-10-12,2,2
2023-10-13,1,1
2023-10-15,1,1
2023-10-17,2,2
2023-10-18,1,1
2023-10-20,1,1
2023-10-21,2,1
2023-10-23,2,2
2023-10-24,1,1
2023-10-26,2,2
2023-10-27,7,6
2023-10-28,4,3
2023-10-29,3,2
2023-10-30,2,2
2023-10-31,1,1
2023-11-01,2,2
2023-11-03,2,2
2023-11-05,2,2
2023-11-06,1,1
2023-11-07,1,1
2023-11-08,2,2
2023-11-09,1,1
2023-11-11,1,1
2023-11-12,1,1
2023-11-15,1,1
2023-11-16,1,1
2023-11-17,6,6
2023-11-18,3,3
2023-11-19,1,1
2023-11-20,2,2
2023-11-22,1,1
2023-11-23,1,1
2023-11-24,2,2
2023-11-25,1,1
2023-11-27,5,5
2023-11-28,2,2
2023-11-29,1,1
2023-11-30,1,1
2023-12-04,3,3
2023-12-05,7,4
2023-12-06,69,39
2023-12-07,36,28
2023-12-08,12,11
2023-12-09,3,3
2023-12-11,2,2
2023-12-12,2,2
2023-12-13,3,3
2023-12-18,15,12
2023-12-19,67,20
2023-12-20,57,10
2023-12-21,113,30
2023-12-22,11,8
2023-12-23,9,4
2023-12-24,7,2
2023-12-25,7,2
2023-12-26,7,2
2023-12-27,4,3
2023-12-28,3,2
2023-12-29,3,2
2023-12-30,9,6
2023-12-31,2,1
2024-01-01,4,2
2024-01-02,2,1
2024-01-03,3,2
2024-01-04,4,3
2024-01-05,5,3
2024-01-06,3,2
2024-01-07,2,1
2024-01-08,7,6
2024-01-09,4,3
2024-01-10,8,4
2024-01-11,4,3
2024-01-12,3,2
2024-01-13,3,2
2024-01-14,3,2
2024-01-15,5,4
2024-01-16,17,4
2024-01-17,4,3
2024-01-18,3,2
2024-01-19,3,2
2024-01-20,3,2
2024-01-21,2,1
2024-01-22,23,10
2024-01-23,8,5
2024-01-24,5,2
2024-01-25,5,2
2024-01-26,5,2
2024-01-27,9,6
2024-01-28,5,2
2024-01-29,6,3
2024-01-30,10,7
2024-01-31,7,4
2024-02-01,37,16
2024-02-02,4,1
2024-02-03,7,4
2024-02-04,8,5
2024-02-05,8,5
2024-02-06,11,7
2024-02-07,22,12
2024-02-08,5,2
2024-02-09,6,3
2024-02-10,6,3
2024-02-11,17,12
2024-02-12,17,12
2024-02-13,12,7
2024-02-14,17,10
2024-02-15,7,4
2024-02-16,7,4
2024-02-17,7,4
2024-02-18,9,5
2024-02-19,38,19
2024-02-20,14,10
2024-02-21,4,1
2024-02-22,5,2
2024-02-23,4,1
2024-02-24,5,2
2024-02-25,4,1
2024-02-26,6,3
2024-02-27,6,3
2024-02-28,4,1
2024-02-29,4,1
2024-03-01,4,1
2024-03-02,6,3
2024-03-03,6,3
2024-03-04,4,1
2024-03-05,4,1
2024-03-06,4,1
2024-03-07,4,1
2024-03-08,6,3
2024-03-09,5,2
2024-03-10,5,2
2024-03-11,5,2
2024-03-12,4,1
2024-03-13,6,3
2024-03-14,4,1
2024-03-15,15,11
2024-03-16,6,3
2024-03-17,5,2
2024-03-18,9,6
2024-03-19,5,2
2024-03-20,5,2
2024-03-21,7,4
2024-03-22,6,3
2024-03-23,5,2
2024-03-24,5,2
