_date,total_views,unique_views
2023-05-02,30,3
2023-05-03,60,5
2023-05-04,111,25
2023-05-05,111,16
2023-05-06,65,11
2023-05-07,9,5
2023-05-08,149,19
2023-05-09,43,14
2023-05-10,185,27
2023-05-11,504,69
2023-05-12,386,47
2023-05-13,431,44
2023-05-14,80,17
2023-05-15,367,41
2023-05-16,346,42
2023-05-17,518,40
2023-05-18,264,31
2023-05-19,81,19
2023-05-20,46,9
2023-05-21,68,9
2023-05-22,167,18
2023-05-23,143,31
2023-05-24,265,13
2023-05-25,111,17
2023-05-26,88,22
2023-05-27,51,12
2023-05-28,103,19
2023-05-29,102,15
2023-05-30,205,28
2023-05-31,95,8
2023-06-01,103,21
2023-06-02,172,24
2023-06-03,24,15
2023-06-04,15,13
2023-06-05,114,29
2023-06-06,72,29
2023-06-07,49,16
2023-06-08,135,14
2023-06-09,110,31
2023-06-10,52,19
2023-06-11,122,22
